Día;Mes;Horario;Hora;Edad;Sexo
Domingo;1;Mañana;13;50;Mujer
Domingo;1;Mañana;13;9;Mujer
Domingo;1;Mañana;13;12;Hombre
Domingo;1;Mañana;13;51;Hombre
Sábado;1;Mañana;12;25;Hombre
Sábado;1;Mañana;13;70;Hombre
Sábado;1;Mañana;12;65;Hombre
Sábado;1;Mañana;13;27;Hombre
Sábado;1;Tarde;17;24;Hombre
Sábado;1;Tarde;18;1;Mujer
Sábado;1;Tarde;18;38;Mujer
Sábado;1;Tarde;18;24;Hombre
Sábado;1;Tarde;18;48;Hombre
Sábado;1;Tarde;18;23;Hombre
Sábado;1;Tarde;18;47;Hombre
Sábado;1;Tarde;15;61;Mujer
Sábado;1;Tarde;18;29;Hombre
Sábado;1;Tarde;17;82;Mujer
Sábado;1;Tarde;18;36;Mujer
Sábado;1;Tarde;18;32;Mujer
Sábado;1;Tarde;19;28;Hombre
Sábado;1;Tarde;20;27;Hombre
Sábado;1;Noche;23;14;Hombre
Sábado;1;Tarde;18;53;Hombre
Sábado;1;Tarde;17;30;Mujer
Domingo;1;Mañana;6;40;Mujer
Sábado;1;Tarde;18;24;Hombre
Sábado;1;Mañana;9;57;Hombre
Domingo;1;Mañana;7;27;Mujer
Domingo;1;Mañana;7;27;Mujer
Domingo;1;Noche;3;42;Hombre
Sábado;1;Tarde;16;22;Mujer
Domingo;1;Mañana;8;23;Hombre
Domingo;1;Mañana;8;52;Hombre
Domingo;1;Mañana;8;32;Mujer
Domingo;1;Tarde;14;41;Hombre
Miércoles;1;Mañana;9;33;Mujer
Miércoles;1;Mañana;9;34;Hombre
Domingo;1;Tarde;16;17;Hombre
Domingo;1;Tarde;19;29;Mujer
Lunes;1;Mañana;8;54;Mujer
Lunes;1;Mañana;6;42;Hombre
Lunes;1;Mañana;10;29;Hombre
Miércoles;1;Mañana;8;61;Mujer
Lunes;1;Mañana;8;24;Hombre
Lunes;1;Mañana;8;87;Mujer
Lunes;1;Mañana;8;54;Mujer
Lunes;1;Mañana;10;54;Hombre
Lunes;1;Mañana;13;59;Hombre
Lunes;1;Mañana;13;34;Hombre
Lunes;1;Mañana;10;51;Hombre
Lunes;1;Mañana;13;66;Mujer
Lunes;1;Tarde;14;28;Mujer
Lunes;1;Tarde;15;27;Mujer
Lunes;1;Tarde;15;30;Hombre
Lunes;1;Tarde;15;29;Hombre
Lunes;1;Tarde;15;47;Mujer
Lunes;1;Tarde;16;62;Hombre
Lunes;1;Tarde;17;47;Hombre
Lunes;1;Tarde;19;43;Mujer
Lunes;1;Tarde;19;36;Mujer
Lunes;1;Tarde;19;70;Hombre
Lunes;1;Tarde;20;41;Hombre
Lunes;1;Tarde;20;19;Hombre
Lunes;1;Tarde;20;10;Mujer
Lunes;1;Tarde;20;18;Hombre
Lunes;1;Tarde;20;36;Hombre
Lunes;1;Tarde;18;36;Mujer
Lunes;1;Tarde;18;57;Mujer
Lunes;1;Tarde;18;28;Hombre
Lunes;1;Tarde;18;59;Hombre
Martes;1;Mañana;7;50;Mujer
Martes;1;Mañana;8;30;Hombre
Martes;1;Mañana;8;55;Mujer
Martes;1;Mañana;8;24;Mujer
Martes;1;Mañana;8;38;Hombre
Martes;1;Mañana;8;31;Mujer
Martes;1;Mañana;8;28;Mujer
Martes;1;Mañana;9;41;Mujer
Martes;1;Mañana;12;40;Mujer
Martes;1;Mañana;13;44;Hombre
Martes;1;Mañana;9;35;Mujer
Martes;1;Mañana;11;48;Mujer
Martes;1;Mañana;9;48;Hombre
Lunes;1;Mañana;6;58;Hombre
Martes;1;Tarde;14;31;Hombre
Martes;1;Tarde;14;43;Hombre
Martes;1;Mañana;12;72;Mujer
Martes;1;Mañana;12;67;Hombre
Martes;1;Tarde;16;44;Hombre
Martes;1;Tarde;16;67;Mujer
Martes;1;Tarde;20;53;Hombre
Martes;1;Tarde;20;21;Mujer
Martes;1;Tarde;20;23;Mujer
Martes;1;Tarde;20;24;Mujer
Martes;1;Tarde;20;37;Mujer
Martes;1;Tarde;20;52;Mujer
Martes;1;Tarde;20;66;Mujer
Martes;1;Tarde;20;67;Mujer
Martes;1;Tarde;20;62;Hombre
Martes;1;Tarde;20;33;Hombre
Martes;1;Tarde;18;25;Hombre
Martes;1;Tarde;21;24;Mujer
Martes;1;Tarde;21;68;Mujer
Martes;1;Noche;22;27;Hombre
Miércoles;1;Mañana;6;44;Hombre
Martes;1;Tarde;20;44;Hombre
Miércoles;1;Mañana;8;46;Mujer
Miércoles;1;Mañana;9;37;Mujer
Miércoles;1;Mañana;10;33;Hombre
Miércoles;1;Mañana;8;26;Mujer
Miércoles;1;Mañana;11;30;Hombre
Jueves;1;Tarde;20;54;Hombre
Miércoles;1;Mañana;13;51;Hombre
Miércoles;1;Mañana;11;32;Mujer
Miércoles;1;Mañana;10;34;Mujer
Miércoles;1;Tarde;14;15;Hombre
Miércoles;1;Tarde;14;41;Hombre
Miércoles;1;Tarde;15;23;Hombre
Miércoles;1;Tarde;19;18;Mujer
Miércoles;1;Tarde;19;23;Mujer
Miércoles;1;Tarde;19;59;Mujer
Miércoles;1;Tarde;19;1;Hombre
Miércoles;1;Tarde;19;44;Hombre
Miércoles;1;Tarde;19;26;Hombre
Miércoles;1;Tarde;19;29;Hombre
Miércoles;1;Tarde;19;39;Hombre
Miércoles;1;Tarde;17;24;Hombre
Miércoles;1;Tarde;17;48;Mujer
Miércoles;1;Tarde;21;16;Mujer
Miércoles;1;Tarde;21;18;Hombre
Miércoles;1;Tarde;21;50;Hombre
Jueves;1;Noche;0;25;Hombre
Jueves;1;Mañana;9;60;Hombre
Jueves;1;Mañana;7;14;Hombre
Jueves;1;Mañana;8;40;Hombre
Jueves;1;Mañana;9;48;Mujer
Jueves;1;Mañana;9;20;Mujer
Jueves;1;Mañana;9;20;Mujer
Jueves;1;Mañana;10;33;Hombre
Jueves;1;Mañana;12;30;Mujer
Jueves;1;Mañana;9;49;Mujer
Jueves;1;Mañana;12;56;Mujer
Jueves;1;Mañana;12;99;Mujer
Jueves;1;Mañana;12;34;Hombre
Jueves;1;Mañana;13;43;Mujer
Jueves;1;Mañana;13;31;Hombre
Jueves;1;Mañana;13;44;Hombre
Jueves;1;Tarde;14;31;Mujer
Jueves;1;Mañana;10;65;Mujer
Jueves;1;Mañana;10;75;Mujer
Jueves;1;Tarde;14;48;Hombre
Jueves;1;Tarde;14;56;Hombre
Jueves;1;Tarde;14;29;Hombre
Jueves;1;Tarde;17;80;Mujer
Lunes;1;Tarde;21;23;Mujer
Lunes;1;Tarde;21;25;Mujer
Jueves;1;Tarde;17;28;Hombre
Jueves;1;Mañana;13;45;Hombre
Jueves;1;Noche;22;52;Mujer
Jueves;1;Noche;22;26;Mujer
Viernes;1;Noche;3;22;Mujer
Viernes;1;Mañana;6;60;Mujer
Jueves;1;Noche;22;51;Hombre
Viernes;1;Mañana;6;49;Hombre
Jueves;1;Mañana;10;22;Mujer
Viernes;1;Mañana;6;32;Hombre
Viernes;1;Mañana;7;43;Hombre
Viernes;1;Mañana;11;36;Hombre
Viernes;1;Mañana;11;36;Hombre
Viernes;1;Mañana;12;31;Mujer
Lunes;1;Mañana;8;44;Mujer
Viernes;1;Tarde;15;51;Mujer
Viernes;1;Tarde;15;39;Mujer
Viernes;1;Tarde;14;42;Mujer
Viernes;1;Tarde;14;47;Hombre
Viernes;1;Tarde;15;31;Mujer
Viernes;1;Tarde;15;38;Hombre
Viernes;1;Tarde;14;32;Hombre
Viernes;1;Tarde;17;25;Hombre
Viernes;1;Tarde;17;1;Mujer
Viernes;1;Tarde;17;44;Mujer
Viernes;1;Tarde;17;42;Mujer
Viernes;1;Tarde;19;34;Mujer
Viernes;1;Tarde;18;52;Hombre
Viernes;1;Tarde;15;81;Hombre
Viernes;1;Tarde;20;70;Mujer
Viernes;1;Tarde;20;49;Hombre
Viernes;1;Tarde;20;45;Hombre
Viernes;1;Tarde;20;62;Mujer
Viernes;1;Tarde;20;35;Hombre
Viernes;1;Tarde;18;24;Mujer
Viernes;1;Noche;22;73;Mujer
Viernes;1;Noche;22;79;Hombre
Viernes;1;Tarde;14;48;Hombre
Viernes;1;Tarde;14;46;Hombre
Viernes;1;Tarde;14;58;Hombre
Sábado;1;Mañana;6;31;Hombre
Sábado;1;Mañana;6;29;Mujer
Sábado;1;Mañana;6;37;Hombre
Viernes;1;Noche;23;17;Hombre
Viernes;1;Tarde;21;26;Hombre
Sábado;1;Noche;0;35;Hombre
Viernes;1;Noche;22;27;Hombre
Sábado;1;Mañana;12;50;Hombre
Sábado;1;Mañana;13;36;Hombre
Sábado;1;Tarde;14;32;Hombre
Sábado;1;Tarde;16;26;Mujer
Sábado;1;Mañana;11;37;Hombre
Sábado;1;Tarde;17;24;Mujer
Sábado;1;Mañana;12;56;Hombre
Sábado;1;Tarde;18;51;Mujer
Sábado;1;Tarde;16;25;Hombre
Sábado;1;Tarde;19;49;Hombre
Sábado;1;Tarde;15;55;Hombre
Sábado;1;Tarde;20;28;Mujer
Sábado;1;Tarde;20;24;Mujer
Sábado;1;Tarde;21;38;Hombre
Sábado;1;Mañana;12;30;Hombre
Domingo;1;Mañana;11;31;Hombre
Domingo;1;Mañana;10;41;Hombre
Domingo;1;Mañana;12;4;Hombre
Domingo;1;Tarde;15;58;Mujer
Domingo;1;Tarde;19;57;Hombre
Domingo;1;Tarde;19;60;Mujer
Domingo;1;Tarde;19;54;Mujer
Domingo;1;Tarde;17;12;Mujer
Domingo;1;Tarde;17;41;Hombre
Domingo;1;Tarde;18;76;Mujer
Domingo;1;Tarde;20;28;Mujer
Domingo;1;Tarde;21;28;Hombre
Domingo;1;Noche;22;20;Mujer
Domingo;1;Tarde;21;1;Hombre
Domingo;1;Noche;22;32;Mujer
Domingo;1;Tarde;21;32;Hombre
Lunes;1;Noche;5;30;Mujer
Lunes;1;Mañana;8;19;Mujer
Lunes;1;Mañana;8;19;Hombre
Lunes;1;Mañana;7;46;Hombre
Lunes;1;Mañana;7;25;Hombre
Lunes;1;Mañana;7;50;Hombre
Lunes;1;Mañana;7;52;Hombre
Lunes;1;Mañana;10;45;Hombre
Lunes;1;Mañana;8;45;Hombre
